"Strain","Stress_MPa","loading_type","temp","lot","specimen","filename"
-0.000257193450494691,0.640478438203647,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000253802730293687,0.642032089461672,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000252085888618839,0.643217581996075,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000252289983117663,0.644647164399628,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000248225397207553,0.646199885189506,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000251040106239955,0.647802824784868,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000248142560686434,0.649089574536446,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000246061773126783,0.650505426054084,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000244397261273434,0.651888455266443,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000243656927501875,0.6533202256766,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000240484427700409,0.654655169486437,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000239699094467331,0.656077749937923,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000237502094972146,0.657280583817337,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000237941657376253,0.658716566429773,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000233802652930341,0.659986686338362,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000228931610642367,0.661240559181017,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000223401621261199,0.661964622798482,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000222485054924338,0.662394980036047,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000218702471747508,0.662813193202671,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.00021810730234429,0.663247105744137,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000215891032168018,0.663400605410918,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000215785613134552,0.663398034075705,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000217437828870017,0.66324716034778,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000215313456970424,0.66331171123081,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000212406934958705,0.663127193936747,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000211403407316102,0.663043059098458,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000210631842355104,0.66282757988386,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000210801768581441,0.662811059248158,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000210193129227504,0.662855971572285,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000208751431288071,0.662872327845505,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000208821767720912,0.662817514612237,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000209611646049824,0.662863082731639,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000211614352513108,0.662730807887182,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.00021168462522127,0.662456904428668,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000211176980694215,0.66231401717305,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000209960924859374,0.662170473570605,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000209619612728282,0.661983878028776,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000210286643220881,0.661959753697825,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000209369220140904,0.661801384930387,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000209685179954518,0.661706856095509,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000210372314334802,0.661573925455779,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.00021206531062255,0.661395699714864,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000213939334027849,0.661481475971771,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000215223437007896,0.661801330878295,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000216185170150164,0.662082728824771,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.00021763073204257,0.662477199885949,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000217192511981763,0.662816638747733,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000218513783361856,0.66310875886421,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000219179327151356,0.663321065551964,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000231770566881427,0.663617561681651,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000234422953242044,0.663963893288214,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000235496094535048,0.664327620843431,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000237572074934663,0.664910328865055,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000237602242470581,0.665723450473557,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000237627900436565,0.66652005199791,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000235785276665184,0.667396357192146,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.0002407090469348,0.668566040041317,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000246849112298201,0.669685887413612,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000251544623954401,0.670995229836362,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000255372533576604,0.672650138311562,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000258072711811177,0.675049077136542,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000255124938861172,0.678451781503201,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000262514089721622,0.683165086934171,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000263943165641425,0.689515084182378,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000269501726784165,0.698135629991526,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000269559386218762,0.709075246593287,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000275594226983289,0.723106629044084,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000277526632294802,0.740378135994928,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000278833346289306,0.761237848575181,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000286654306323149,0.786011038483117,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000295434651767619,0.815509841703895,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000295016754296888,0.850079004132207,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000297213074060635,0.890447183813302,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000298700959532492,0.936723187607511,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000301723058327815,0.989718222686501,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000308449933743602,1.04966926665696,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000307663232487943,1.11755771190709,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000309692974238249,1.19367239516456,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.00031591868123736,1.27813727662811,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000317660084086371,1.37185147312929,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000319281982229292,1.47482975357479,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.00032093231205944,1.58768704820297,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.0003200635999098,1.7106646560301,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000325931956214626,1.84409025462409,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000326130099085917,1.98854677042112,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000321137243626623,2.14393185302804,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000324094614804442,2.31101956479859,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000321510520895686,2.48975738971338,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000327836869444385,2.68056239260786,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000324957898459763,2.88373911068767,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000325393927935339,3.09939848366456,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000324710071575161,3.32824646825686,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000324510999647984,3.57035335920966,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.00032266609070305,3.82538890761984,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000325710408703697,4.09424364210346,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000326123319194688,4.37683534170751,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000323288658272364,4.67334157637763,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000322380705020715,4.98373346244104,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000320618104249048,5.30795115320135,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000318782062994405,5.6467814579295,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000319384229700092,6.00034975817361,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000316941577524777,6.36850851709508,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000314892312762946,6.75150685802621,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000313438435309452,7.14945632187037,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000312545363754858,7.56272736456507,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000308499989529395,7.99131024901209,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000301259958979708,8.43508588466492,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000293219532513584,8.89428988183295,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000285144531727802,9.36925134053656,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000280644402008283,9.86017315798717,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000273729314022938,10.3664976809622,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000277758449304686,10.8880349213239,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000266765233912772,11.4242875104782,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.00026294093340111,11.9749561614427,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000255038709149953,12.5399153288582,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000252274841027286,13.1189830667659,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.00024567572111191,13.7120378770951,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000237495047550809,14.3191858861635,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000234337793426076,14.9396740374736,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000223478910069612,15.573774318944,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000211452834358795,16.2208405665006,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000207339944245678,16.8804323570828,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000201556777627152,17.5518895216092,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000198442252273285,18.2350540746411,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000193161364245574,18.929263440676,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000181642621365604,19.6341742962717,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000178650799243433,20.3499008082704,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000172094248458988,21.0755734561184,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000160903433426086,21.8106948149637,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000158934546905091,22.5550573374603,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000151682308331737,23.307725364805,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000145158600168019,24.0680724801383,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000140315991508376,24.8363805739428,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000130061594153126,25.6129183524027,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000125776653625492,26.3968147081495,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000126579662865901,27.1877727611734,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000118690800594805,27.9849158781067,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000115730797013839,28.7880722891242,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-0.000100664520997214,29.5975452733413,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-9.7592581220998e-05,30.4122552996276,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-8.72409204500833e-05,31.2323138553859,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-7.81486831153789e-05,32.0578551839495,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-6.92186724527116e-05,32.8885330634708,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-5.84056285433219e-05,33.7249299289531,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-4.76525620111369e-05,34.566071280753,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-3.35983840481241e-05,35.4113024752368,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-2.62016661542245e-05,36.2602502115619,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-1.51806909496968e-05,37.1132691359807,"P",20,"F","1","P_020_F_1_017_198_18.csv"
-4.84061539071809e-06,37.9704339203545,"P",20,"F","1","P_020_F_1_017_198_18.csv"
7.18065439262514e-06,38.8308833030687,"P",20,"F","1","P_020_F_1_017_198_18.csv"
2.08711401467172e-05,39.6949577626605,"P",20,"F","1","P_020_F_1_017_198_18.csv"
2.97917107441365e-05,40.5640889051775,"P",20,"F","1","P_020_F_1_017_198_18.csv"
4.71007600372315e-05,41.4374246043601,"P",20,"F","1","P_020_F_1_017_198_18.csv"
5.86335030551056e-05,42.3150958223592,"P",20,"F","1","P_020_F_1_017_198_18.csv"
7.23974217201804e-05,43.1965026741706,"P",20,"F","1","P_020_F_1_017_198_18.csv"
8.53369968739289e-05,44.0820325191445,"P",20,"F","1","P_020_F_1_017_198_18.csv"
9.12494409845213e-05,44.9718369976661,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000101641837995767,45.865478531028,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.00010606135169291,46.7624893993118,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000115076474079146,47.6621157253107,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000125077811532137,48.5650737499806,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.00013371537237764,49.4705616204711,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000139351484371057,50.3787902756211,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000154570266001547,51.289549597301,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000158818502627829,52.2021612543752,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000170985978491009,53.1172076812956,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000180928193521679,54.0336876844072,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000190329793736345,54.9518083179686,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000203026162368896,55.8717818340639,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000216527943726692,56.7930828546362,"P",20,"F","1","P_020_F_1_017_198_18.csv"
